393349650,2024-04-19,2,669.84,3,true
727888752,2024-04-15,2,147.64,3,true
577769715,2024-04-26,1,335.62,2,false
043047168,2024-04-13,1,111.83,1,false
240654353,2024-04-24,2,942.41,1,false
273970302,2024-04-03,1,577.53,4,true
381732100,2024-04-29,2,554.31,1,true
405058337,2024-04-14,1,881.67,2,false
436049998,2024-04-01,2,951.78,5,false
206672136,2024-04-27,1,625.24,4,false
246952698,2024-04-12,1,23.19,4,true
792472928,2024-04-19,2,122.05,3,true
358249369,2024-04-27,1,712.67,2,true
724990162,2024-04-27,2,695.56,2,false
658919548,2024-04-01,2,721.26,4,true
899711597,2024-04-15,1,586.23,5,false
345486982,2024-04-17,2,584.85,4,false
769204178,2024-04-08,1,150.79,1,true
008560451,2024-04-04,1,2.89,3,false
084847630,2024-04-03,2,195.9,5,false
748815376,2024-04-11,1,603.77,1,true
105782511,2024-04-21,1,368.27,1,true
243966498,2024-04-07,1,92.8,5,false
763857508,2024-04-22,1,334.72,1,false
171996335,2024-04-06,2,773.13,5,true
474919908,2024-04-26,2,550.1,1,false
152428317,2024-04-02,1,313.6,3,true
458446804,2024-04-13,2,379.32,1,true
734468228,2024-04-06,2,710.18,1,false
444452638,2024-04-19,2,47.21,3,false
221152216,2024-04-17,1,950.13,4,true
953562358,2024-04-07,1,51.24,4,true
930740187,2024-04-21,1,688.26,1,false
708392856,2024-04-18,2,577.97,1,false
906280346,2024-04-15,1,677.88,2,false
783161744,2024-04-04,1,589.96,3,false
894978781,2024-04-11,1,571.32,2,true
139508265,2024-04-13,2,608.43,5,true
242578452,2024-04-25,1,8.64,4,true
887589235,2024-04-26,1,764.59,4,true
873880956,2024-04-16,1,447.48,4,true
326346006,2024-04-26,2,540.67,2,true
610616173,2024-04-28,1,131.36,3,false
736572778,2024-04-05,1,880.83,5,true
717835732,2024-04-23,2,270.17,3,false
738647076,2024-04-28,2,496.54,4,true
176585434,2024-04-02,2,290.07,3,true
741135794,2024-04-10,1,334.25,4,true
814891618,2024-04-05,2,757.99,1,true
128049961,2024-04-03,1,240.56,2,false
492839481,2024-04-05,2,59.39,1,false
326694510,2024-04-09,2,609.85,2,true
118747971,2024-04-14,1,93.72,2,true
301009738,2024-04-02,2,923.3,1,false
214939615,2024-04-18,1,341.97,3,false
618517761,2024-04-22,1,297.24,1,false
610908949,2024-04-09,1,428.04,2,true
822445354,2024-04-15,2,620.21,3,false
434024713,2024-04-02,2,407.14,3,false
455648551,2024-04-02,1,263.36,5,false
508588572,2024-04-24,1,631.79,4,true
562384179,2024-04-19,2,417.35,4,true
